iteration;w_s;Non Food;Non Perishable A;Non Perishable B;Non Perishable C;Non Perishable D;Perishable A;Perishable B;medoid_0;medoid_1;medoid_2;medoid_3;cluster_size_0;cluster_size_1;cluster_size_2;cluster_size_3;iem;optimization;clustering;repetition
0;0.11408519359808582;0.1486707537952537;0.1253000809216158;0.11326817393468144;0.088067694135561;0.13426592896451614;0.09096390915257357;0.18537826549771252;1073881088;63430604898;4026663040;29066948898;78;266;168;198;;;;random_0
1;0.2366789100818342;0.1819432033667347;0.02595492144120827;0.25233527557337193;0.12282527776671816;0.1402530047885955;0.006348029328823759;0.033661377652713445;1073881088;63987202294;4026663040;29062471714;94;281;136;199;-7.779688062726941;0.09375;0.046875;random_0
2;0.2366789100818342;0.1819432033667347;0.02595492144120827;0.25233527557337193;0.12282527776671816;0.1402530047885955;0.006348029328823759;0.033661377652713445;1073881088;63987202294;4026663040;29062471714;94;281;136;199;-7.809384024220923;0.09375;0.046875;random_0
3;0.2366789100818342;0.1819432033667347;0.02595492144120827;0.25233527557337193;0.12282527776671816;0.1402530047885955;0.006348029328823759;0.033661377652713445;1073881088;63987202294;4026663040;29062471714;94;281;136;199;-7.809384024220923;0.078125;;random_0
0;0.2230943142573634;0.08876925228049985;0.18328959226317257;0.12244267836512651;0.13150607973995737;0.21428175474110944;0.016445318155662837;0.020171010197108017;536871040;44023556098;3221364768;27386065346;40;148;211;311;;;;random_1
1;0.2059081005055801;0.03008122965720965;0.21401066471551095;0.123615417560077;0.08693132599184651;0.3160522007793595;0.00028927154382372327;0.02311178924659249;536871040;44023556098;3221364768;27386065346;45;115;260;290;-7.778889645003792;0.109375;0.03125;random_1
2;0.1630698429893746;0.00407268318921882;0.09797735637200568;0.2025790815233156;0.07132255533094715;0.3329994162083449;0.0012882034078602433;0.12669086097893295;1073881088;44023556098;3221364768;27386065346;97;116;232;265;-7.776396379166105;0.109375;0.078125;random_1
3;0.1630698429893746;0.00407268318921882;0.09797735637200568;0.2025790815233156;0.07132255533094715;0.3329994162083449;0.0012882034078602433;0.12669086097893295;1073881088;44023556098;3221364768;27386065346;97;116;232;265;-7.844258912077756;0.109375;0.046875;random_1
4;0.1630698429893746;0.00407268318921882;0.09797735637200568;0.2025790815233156;0.07132255533094715;0.3329994162083449;0.0012882034078602433;0.12669086097893295;1073881088;44023556098;3221364768;27386065346;97;116;232;265;-7.844258912077756;0.125;;random_1
0;0.10822950194210952;0.14099952599637086;0.021833392552064484;0.23569143729881853;0.19284980200941512;0.09032859058704758;0.17809393668812418;0.031973812926049804;536871040;63959087266;1073881088;26916302914;29;338;145;198;;;;random_10
1;0.3213706583755633;0.11903814318268968;0.017556143254973008;0.27872367736218245;0.15140872368796396;0.0725830103446137;0.006198745360259357;0.03312089843175478;536871040;63959087266;1073881088;26916302914;63;340;124;183;-7.796044060239324;0.078125;0.03125;random_10
2;0.2053915564828493;0.11863678979949728;0.05127573581718119;0.2502002985675514;0.2864209047479846;0.010185690057680255;0.020426441167318572;0.05746258335993754;536871040;63959087266;1073881088;26916302914;73;311;127;199;-7.798155294935704;0.09375;0.046875;random_10
3;0.22350086628715765;0.0027692807665022075;0.05262966994137647;0.43884178522662964;0.04310337257013177;0.00745609202988119;0.05762348469859703;0.17407544847972403;536871040;63699036194;1073881088;64204782050;87;224;141;258;-7.807087146938267;0.078125;0.03125;random_10
4;0.22350086628715765;0.0027692807665022075;0.05262966994137647;0.43884178522662964;0.04310337257013177;0.00745609202988119;0.05762348469859703;0.17407544847972403;536871040;63699036194;1073881088;64204782050;87;224;141;258;-7.859434471134176;0.078125;0.046875;random_10
5;0.22350086628715765;0.0027692807665022075;0.05262966994137647;0.43884178522662964;0.04310337257013177;0.00745609202988119;0.05762348469859703;0.17407544847972403;536871040;63699036194;1073881088;64204782050;87;224;141;258;-7.859434471134176;0.078125;;random_10
0;0.009322162219970603;0.14911270249531897;0.0951737754178372;0.08797196308702855;0.18865973877286468;0.16527333083460805;0.22245139665832375;0.08203493051404832;536871040;20405428256;64228042944;29066948898;36;177;233;264;;;;random_100
1;0.2380546354771868;0.11173900989189237;0.026105787627590093;0.2538020055267487;0.04185444016434565;0.24887557479368702;0.006384928033296779;0.07318361848525257;1073881088;20405428256;64228042944;29062471714;113;122;239;236;-7.732056544749918;0.09375;0.046875;random_100
