VisitID;ALCOHOLS AND TOBACCO;BABY PRODUCTS;BREAD;CARBS NP;CARBS P;CHEESE;CONDIMENTS NP;CONDIMENTS P;DESSERTS;EGGS;FRUITS AND VEGETABLES NP;FRUITS AND VEGETABLES P;GRAINS;HOT DRINKS;MEAT AND FISH NP;MEAT AND FISH P;MILK;NON FOOD;PERSONAL CARE;PET ARTICLES;PREPARED MEALS NP;PREPARED MEALS P;SNACKS;SOFT DRINKS NP;SOFT DRINKS P;SPREAD NP;SPREAD P;SWEETS;WASHING AND CLEANING
receipt_0;0;0;0;0;0;0;1;1;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
receipt_1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
receipt_2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;1
receipt_3;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;1;0;0;0;0;0;0
receipt_4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
receipt_5;0;0;1;0;1;1;0;0;1;1;0;1;0;0;1;0;1;0;0;0;0;0;1;0;1;0;0;1;0
receipt_6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
receipt_7;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0
receipt_8;0;0;0;0;0;0;1;0;0;0;0;1;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
receipt_9;0;0;1;1;0;1;1;1;0;1;0;0;0;0;1;1;1;1;0;0;1;1;1;1;0;0;0;1;1
receipt_10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
receipt_11;1;0;1;0;0;1;0;1;0;0;0;1;1;0;1;0;1;0;0;0;0;1;1;1;0;0;0;0;0
receipt_12;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0
receipt_13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0
receipt_14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
receipt_15;1;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
receipt_16;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
receipt_17;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;1;0;0;1;0;0;0;0;1;0;0;0
receipt_18;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0
receipt_19;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
receipt_20;1;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
receipt_21;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0
receipt_22;0;0;0;0;0;0;1;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0
receipt_23;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;1;0
receipt_24;0;0;1;0;0;0;0;1;0;0;0;1;1;0;0;1;1;0;0;0;0;1;0;0;1;0;0;1;0
receipt_25;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
receipt_26;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
receipt_27;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
receipt_28;0;0;1;0;0;1;0;0;1;0;0;1;1;0;0;1;0;1;0;0;0;0;1;0;0;0;0;0;0
receipt_29;0;0;0;0;1;1;1;1;0;1;1;1;1;0;0;1;1;0;0;0;0;1;1;1;0;0;0;0;0
receipt_30;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;1;0;0;0;0;0;1;0
receipt_31;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
receipt_32;0;0;0;0;0;1;1;1;0;0;1;1;1;0;0;1;0;1;1;0;0;0;1;1;1;0;0;1;0
receipt_33;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
receipt_34;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
receipt_35;1;0;1;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0
receipt_36;1;1;0;1;0;0;1;0;1;0;0;1;0;0;0;1;1;0;0;1;0;0;0;1;0;0;0;1;0
