iteration;w_s;Non Food;Non Perishable A;Non Perishable B;Non Perishable C;Non Perishable D;Perishable A;Perishable B;medoid_0;medoid_1;medoid_2;medoid_3;cluster_size_0;cluster_size_1;cluster_size_2;cluster_size_3;iem;optimization;clustering;repetition
0;0.11408519359808582;0.1486707537952537;0.1253000809216158;0.11326817393468144;0.088067694135561;0.13426592896451614;0.09096390915257357;0.18537826549771252;536871040;11886800930;37849540608;29878132834;96;201;148;268;;;;random_0
1;0.2141875990279326;0.14140163163174538;0.04634367787947426;0.10831711571244376;0.05335031274434084;0.00656554995798805;0.03182409513900542;0.3980100179070696;1610752128;11886800930;37849540608;29878132834;154;196;139;224;-7.7494957259267085;0.109375;0.0625;random_0
2;0.29377770844629897;0.001328897317538939;0.0410605039093332;0.0709373582215717;0.09964556724408431;0.07993649083140845;0.004699237089771474;0.40861423693999305;1610752128;11811299362;1073881088;64170907746;156;226;80;251;-7.799993850633992;0.125;0.0625;random_0
3;0.39291997443258353;0.046678392075325884;0.08967364259959058;0.08593741867270752;0.0030779983045545484;0.012602836570425146;0.03494607953549779;0.33416365780931495;1610752128;11811299362;1073881088;64170907746;156;200;72;285;-7.838792578068947;0.109375;0.0625;random_0
4;0.28285602862283515;0.2537776207989907;0.0451233842292053;0.02450298610495382;0.05022252087045374;0.006392669873997028;0.004814088301972496;0.3323107011975916;1610752128;11811299362;1073881088;64163026978;160;182;65;306;-7.840841662111858;0.125;0.046875;random_0
5;0.204010366811844;0.2987667435432591;0.03065162719019198;0.08078032796635412;0.016787901371500866;0.042166449379253054;0.01703437799657975;0.3098022057410172;1610752128;11811299362;1073881088;64170907746;146;196;69;302;-7.840774366089433;0.140625;0.046875;random_0
6;0.11087684162754623;0.27886963336158577;0.08188371305838223;0.086645741524473;0.12310991386830243;0.012388078847863998;0.0028737857519388807;0.30335229195990754;1610752128;11811299362;1073881088;64170907746;151;173;81;308;-7.820547393000294;0.140625;0.0625;random_0
7;0.11087684162754623;0.27886963336158577;0.08188371305838223;0.086645741524473;0.12310991386830243;0.012388078847863998;0.0028737857519388807;0.30335229195990754;1610752128;11811299362;1073881088;64170907746;151;173;81;308;-7.822647409537981;0.140625;;random_0
0;0.2230943142573634;0.08876925228049985;0.18328959226317257;0.12244267836512651;0.13150607973995737;0.21428175474110944;0.016445318155662837;0.020171010197108017;536871040;46179289122;18257944576;29827412290;51;266;160;236;;;;random_1
1;0.1630698429893746;0.00407268318921882;0.09797735637200568;0.2025790815233156;0.07132255533094715;0.3329994162083449;0.0012882034078602433;0.12669086097893295;1610752128;11886800930;1073881088;64238532807;111;263;84;255;-7.785765968405114;0.125;0.046875;random_1
2;0.1630698429893746;0.00407268318921882;0.09797735637200568;0.2025790815233156;0.07132255533094715;0.3329994162083449;0.0012882034078602433;0.12669086097893295;1610752128;11886800930;1073881088;64238532807;111;263;84;255;-7.835961386695783;0.125;0.0625;random_1
3;0.1630698429893746;0.00407268318921882;0.09797735637200568;0.2025790815233156;0.07132255533094715;0.3329994162083449;0.0012882034078602433;0.12669086097893295;1610752128;11886800930;1073881088;64238532807;111;263;84;255;-7.835961386695783;0.125;;random_1
0;0.10822950194210952;0.14099952599637086;0.021833392552064484;0.23569143729881853;0.19284980200941512;0.09032859058704758;0.17809393668812418;0.031973812926049804;536871040;63986628726;2415919104;1073872896;35;495;54;129;;;;random_10
1;0.40072647367377445;0.00310362567010429;0.0033302005369709063;0.3927380356007213;0.046225443549343416;0.03708592971439797;0.06602574663090753;0.05076454462378014;536871040;63986628726;2415919104;1073872896;71;469;48;125;-7.810042497092661;0.125;0.0625;random_10
2;0.22350086628715765;0.0027692807665022075;0.05262966994137647;0.43884178522662964;0.04310337257013177;0.00745609202988119;0.05762348469859703;0.17407544847972403;536871040;64230471906;2415919136;1073881088;78;454;41;140;-7.845648549482658;0.140625;0.046875;random_10
3;0.22350086628715765;0.0027692807665022075;0.05262966994137647;0.43884178522662964;0.04310337257013177;0.00745609202988119;0.05762348469859703;0.17407544847972403;536871040;64230471906;2415919136;1073881088;78;454;41;140;-7.86658460639895;0.109375;0.0625;random_10
